date,ndvi
2019-01-08,0.10367646563957325
2019-01-31,-0.02971183298199391
2019-02-02,-0.010766977702045544
2019-02-02,-0.03944838385443608
2019-02-09,0.09187475023826627
2019-02-09,0.0837835170586705
2019-02-25,0.0972130583215139
2019-03-04,0.008167033286563173
2019-03-04,0.005408471906432457
2019-03-22,0.11671344136435881
2019-04-21,0.13709002607911489
2019-04-21,0.14371013013857536
2019-05-23,0.1777766799162349
2019-06-01,0.1489070988076796
2019-06-08,0.21197598152980116
2019-06-08,0.226219634613588
2019-06-26,-0.002671971883747325
2019-06-26,0.23373384870682154
2019-07-10,0.3208892860999331
2019-07-10,0.34358891836115707
2019-07-12,0.10977483588399209
2019-07-12,-0.0032103514779276837
2019-07-12,0.2890245038325718
2019-07-19,0.360132250951876
2019-07-28,0.13735584023000683
2019-07-28,0.39986739507143415
2019-08-04,0.275173009114977
2019-08-04,0.43105838076136627
2019-08-27,0.41583144040804443
2019-08-27,0.42617150741739634
2019-08-29,0.1131708171816988
2019-08-29,0.42301037060021135
2019-09-14,0.1199163386976747
2019-09-14,0.3958347305559941
2019-09-14,-0.003556905217252066
2019-09-30,0.2839993948746584
2019-09-30,0.09566719232164944
2019-10-07,0.19573448659207054
2019-10-07,0.09767628264093414
2019-10-07,0.24108197640513132
2019-10-14,0.22242103159515803
2019-10-14,0.22002662221227995
2019-10-23,0.05571511657022723
2019-11-01,0.1673548701789369
2019-11-24,0.11681636329871473
2020-02-03,-0.012259944787059525
2020-02-05,0.06565790514250067
2020-02-19,0.027996458610389706
2020-02-19,0.011814100382046031
2020-02-21,0.09637782295725805
2020-02-21,-0.0046954382696509905
2020-02-21,0.025276162600567555
2020-02-28,0.021720327305286405
2020-03-06,0.10704430773776363
2020-03-06,0.10246492140587712
2020-03-08,0.11317066438326634
2020-04-09,0.077680958433529
2020-04-09,0.15412025045573338
2020-04-16,0.04394897518193701
2020-05-02,0.11418634975500044
2020-05-02,0.13166765091976151
2020-05-09,0.1606346552221562
2020-05-09,0.17468713340852468
2020-06-12,0.10538347561144533
2020-06-12,0.21319444566631504
2020-06-19,0.07418523793997765
2020-07-05,0.24853738893504768
2020-07-05,0.3471222794287448
2020-07-05,0.1293001405665641
2020-07-12,0.426180897954542
2020-07-28,0.4418942739155972
2020-08-06,0.48765637161626313
2020-08-06,0.10551678280939425
2020-08-13,0.4395753400712001
2020-08-22,0.2548254385122001
2020-08-22,0.4488615518548421
2020-08-31,0.11759698814317991
2020-09-14,0.33000427856063036
2020-09-16,0.10128017242341279
2020-09-16,-0.01530234721070518
2020-10-09,0.14559508461543327
2020-10-09,0.1570301820650979
2020-10-09,0.08069941913414667
2020-10-16,0.18185455970258307
2020-10-16,0.1908880494572017
2020-11-17,0.14172307377645674
2020-11-17,0.13173444110821797
2021-01-20,-0.036084258650392276
2021-01-22,0.10837544792501365
2021-01-29,0.003824783076868438
2021-01-29,-0.004240520261285032
2021-01-29,-0.001951126659617816
2021-02-05,-0.038200380293207256
2021-02-07,-0.04539812475240294
2021-02-14,-0.05414653755044778
2021-02-23,-0.01881279776463922
2021-02-23,-0.07296444800275921
2021-03-02,0.016476274839988238
2021-03-02,-0.0054609893522947605
2021-03-02,0.0806119581528386
2021-03-09,0.05723983058217953
2021-03-27,0.1278445279110511
2021-04-03,0.10231283014557592
2021-04-03,0.1050574630741907
2021-04-03,0.05057845904287175
2021-04-12,0.16309299747017003
2021-05-05,0.1241973688503577
2021-05-05,0.08454061432758332
2021-05-05,0.15945659426220488
2021-05-12,0.1835187365251661
2021-05-12,0.1954435536702785
2021-05-14,0.0591551131572629
2021-05-14,0.18091784977171665
2021-05-14,-0.005945672283759014
2021-05-30,-0.0046602707427744
2021-05-30,0.20214987279576718
2021-05-30,0.0991017227072735
2021-06-06,0.0700601246386489
2021-06-13,0.2548230441104891
2021-06-13,0.25122884457576544
2021-06-15,0.0867662185365067
2021-06-15,0.2905616945109359
2021-06-15,0.007159152898090955
2021-06-22,0.3461401622872878
2021-07-01,0.1265615129000602
2021-07-01,0.007488572622862145
2021-08-02,0.13252190474495787
2021-08-02,0.4620406567369698
2021-08-16,0.44079741243712833
2021-08-16,0.4518267369256187
2021-08-25,0.26809418008651903
2021-09-01,0.42441435752186313
2021-09-10,0.29478001501604056
2021-09-10,0.22271884918320564
2021-09-10,0.11034808091242936
2021-09-17,0.2716390101177956
2021-09-19,0.09357617311289854
2021-09-19,-0.0048026264103748885
2021-09-26,0.1668702571226407
2021-09-26,0.1725424802731061
2021-11-06,-0.006356097449222143
2021-11-06,0.06940577775236925
2021-11-06,0.15662645427959032
2021-11-08,0.1498509414080956
2021-11-08,0.10962598727954113
2021-11-22,0.0521581963950119
2021-11-22,0.14352636147784642
2021-12-06,0.12358815696453881
2021-12-08,0.1291833173070632
2021-12-22,0.11149341788609361
2022-01-07,0.002003404269470346
2022-01-07,0.00698371318115641
2022-01-15,0.012140810688621828
2022-01-16,0.03562971789933181
2022-01-16,0.01600591458113105
2022-01-23,-0.022916852667319736
2022-01-23,-0.00576408343521173
2022-01-25,-0.02362782570361057
2022-01-31,-0.016323720155788778
2022-01-31,-0.013976793125149501
2022-02-18,-0.022276813206198693
2022-02-18,-0.00854010824739655
2022-02-26,0.026480853218662895
2022-02-26,0.10098226684846796
2022-02-26,-0.006950859057588586
2022-03-06,0.1229575245189438
2022-03-12,0.06767403405697962
2022-03-12,0.10562353087300089
2022-03-14,0.11720248382152049
2022-03-20,0.11437393784010731
2022-03-20,0.10862771690548967
2022-03-21,0.0946203981667026
2022-03-28,0.10822475495620293
2022-03-28,0.11148773919060949
2022-04-14,0.11445985452518329
2022-04-14,0.10823866288412731
2022-04-14,0.05711623674289831
2022-04-21,0.13707420983890795
2022-04-21,0.13130212503205618
2022-05-07,0.1633292841516549
2022-05-07,0.1525296023006157
2022-05-09,0.06216834954010183
2022-05-09,0.0032937813845022898
2022-05-16,0.08415281323349018
2022-05-16,0.12657125273942804
2022-05-16,0.16369908049231963
2022-05-17,-0.0023049162330740815
2022-05-17,0.04866429653237395
2022-05-23,0.18339390611408385
2022-06-02,0.09787697105405826
2022-06-02,-0.0051932798452871964
2022-06-09,0.14474354281880095
2022-06-09,0.2156914697323296
2022-06-09,0.176296253635222
2022-06-16,0.23439793929901637
2022-06-16,0.2514627338825065
2022-06-17,0.11363232208757779
2022-06-17,0.20780754085480072
2022-06-18,0.25717601917727057
2022-06-18,0.0065619223797783
2022-06-18,0.1173929381695855
2022-06-24,0.2809900971338725
2022-06-26,0.00651110647613495
2022-07-03,0.3615162546966313
2022-07-03,0.12646899796638184
2022-07-03,0.2381942654266062
2022-07-04,0.4088306190612247
2022-07-10,0.38864055644238643
2022-07-10,0.3861748693970251
2022-07-12,0.12524987887973546
2022-07-12,0.40545074959573624
2022-07-18,0.42763063187126227
2022-07-18,0.42228098095874095
2022-07-19,0.49126540783000144
2022-07-20,0.13584472505733744
2022-07-20,0.4511674225587034
2022-07-20,0.0050444430505265595
2022-08-04,0.20530046925002493
2022-08-11,0.4559823489200958
2022-09-13,0.18396040008489153
2022-09-14,0.17055330212829017
2022-09-14,0.4038868886937105
2022-09-20,0.3752903181607575
2022-09-20,0.3655391775999299
2022-09-22,0.299445314495323
2022-09-28,0.31800453624180014
2022-09-28,0.31942819238026915
2022-09-29,0.14679437464841827
2022-09-29,0.23972422875228103
2022-09-29,0.24647987364196977
2022-09-30,-0.005460076327964368
2022-09-30,0.2476937395848072
2022-09-30,0.10409126117262998
2022-10-15,0.16234784429372862
2022-10-15,0.15818161074365397
2022-10-16,0.17921626449714234
2022-10-22,0.18768733420928682
2022-10-22,0.18089223384603692
2022-10-23,0.07400670625428661
2022-10-23,0.14048524468720888
2022-10-23,0.14797748280572304
2022-11-01,0.0602227742719349
2022-11-01,0.13594977553455004
2022-11-01,-0.005834296883460421
2022-11-07,0.13888153369066272
2022-11-07,0.14711456924682706
2022-11-08,0.10620988079962308
2022-11-08,0.11548801017600933
2022-11-23,0.13073040347539586
2022-11-23,0.13784924350794747
2022-11-25,-0.007308562143786104
2022-11-25,0.055290334427078744
2022-12-01,0.12211871015739507
2022-12-03,0.12418816932840769
2022-12-18,0.020954086587936658
2022-12-18,0.064219506534645
2023-01-10,0.10604661157288037
2023-02-03,-0.023841417921264214
2023-02-04,0.009768566496284844
2023-02-04,0.07514435109994584
2023-02-04,-0.0009215793771724001
2023-02-05,0.030528177635198193
2023-02-05,0.10437165125225532
2023-02-11,0.09447134337283476
2023-02-11,0.09344113846523244
2023-02-12,0.08538401865771314
2023-02-12,0.08539647343988403
2023-02-12,0.039555348397163875
2023-02-13,0.04727430161133838
2023-02-13,0.10887242459512139
2023-02-19,0.055957694467461676
2023-02-19,0.06649787842031536
2023-03-01,0.046334384204007206
2023-03-01,0.11297117775242645
2023-03-07,0.11272166223305004
2023-04-02,0.12974059072537014
2023-04-08,0.12400901560260404
2023-04-09,0.1063028847492941
2023-04-09,0.05356083579964063
2023-04-09,0.10202213601024361
2023-04-10,0.13705830546721504
2023-04-18,0.15559557598847307
2023-04-26,0.07816777114107143
2023-04-26,0.1691593402910345
2023-05-02,0.14917717652468213
2023-05-03,0.14973463847957913
2023-05-03,0.11777447733299802
2023-05-04,0.1769898332730545
2023-05-04,0.08576315772254882
2023-05-10,0.18717590579010035
2023-05-10,0.16866613057863258
2023-05-11,0.0879879349270578
2023-05-11,0.16318470384020287
2023-05-20,0.1928639960028282
2023-05-26,0.18833590173553427
2023-05-26,0.21043253779488177
2023-05-27,0.11809701475302635
2023-05-27,0.15097895629491848
2023-05-28,0.002853665488823815
2023-06-03,0.19678702269335055
2023-06-03,0.22079851168556633
2023-06-04,0.09612187157461824
2023-06-04,0.22659823221540845
2023-06-05,-0.010484717614712605
2023-06-12,0.06684481275523602
2023-06-19,0.25620618232154124
2023-06-19,0.2632539155980513
2023-06-20,0.11733365255525666
2023-06-20,0.2890499550004486
2023-06-20,0.23667719473826285
2023-06-21,0.094949521544633
